,HomeDaysRest,AwayDaysRest,ConferenceBinary,OpponentConferenceBinary,S2015,S2016,S2017,S2018,S2019,S2020,S2021,S2022,HomeQ3,AwayQ3,Avg_HOFFRATING,Avg_HDEFRATING,Avg_AOFFRATING,Avg_ADEFRATING
4554,2.0,5.0,0,0,0,0,0,0,0,0,1,0,76.0,73.0,104.94999999999999,106.88333333333333,114.30000000000001,107.66666666666667
4555,2.0,2.0,0,1,0,0,0,0,0,0,1,0,96.0,80.0,106.21666666666665,110.11666666666667,117.06666666666666,117.0
4556,1.0,2.0,0,0,0,0,0,0,0,0,1,0,69.0,99.0,109.48333333333333,111.36666666666667,113.28333333333335,118.7
4557,5.0,1.0,0,0,0,0,0,0,0,0,1,0,89.0,74.0,105.89999999999999,112.48333333333333,113.85000000000001,114.86666666666666
4558,2.0,2.0,0,1,0,0,0,0,0,0,1,0,78.0,88.0,108.23333333333335,114.01666666666667,102.11666666666667,110.05
4559,1.0,2.0,0,0,0,0,0,0,0,0,1,0,90.0,100.0,107.05000000000001,114.5,110.96666666666665,103.93333333333332
4560,2.0,2.0,0,0,0,0,0,0,0,0,1,0,73.0,82.0,111.09999999999998,115.28333333333335,111.13333333333333,105.93333333333334
4561,3.0,1.0,0,1,0,0,0,0,0,0,1,0,80.0,76.0,110.45,116.68333333333334,117.93333333333332,117.63333333333333
4562,2.0,2.0,0,0,0,0,0,0,0,0,1,0,83.0,100.0,105.55000000000001,115.89999999999999,124.63333333333334,116.11666666666667
4563,2.0,2.0,0,1,0,0,0,0,0,0,1,0,87.0,89.0,106.86666666666667,115.86666666666666,101.66666666666667,114.78333333333335
4564,2.0,2.0,0,1,0,0,0,0,0,0,1,0,77.0,93.0,104.91666666666667,114.03333333333335,105.58333333333336,109.95
4565,2.0,3.0,0,1,0,0,0,0,0,0,1,0,77.0,85.0,105.39999999999999,114.56666666666666,108.16666666666667,108.41666666666664
4566,1.0,3.0,0,1,0,0,0,0,0,0,1,0,75.0,93.0,101.35000000000001,113.3,101.73333333333333,107.01666666666667
4567,2.0,1.0,0,1,0,0,0,0,0,0,1,0,76.0,90.0,101.5,116.10000000000001,105.08333333333333,99.28333333333335
4568,1.0,2.0,0,0,0,0,0,0,0,0,1,0,83.0,125.0,101.63333333333333,117.26666666666665,104.01666666666667,117.36666666666666
4569,2.0,2.0,0,1,0,0,0,0,0,0,1,0,90.0,100.0,101.46666666666665,119.83333333333333,111.71666666666665,110.86666666666667
4570,2.0,1.0,0,0,0,0,0,0,0,0,1,0,68.0,79.0,99.93333333333332,122.60000000000001,110.86666666666666,110.38333333333334
4571,2.0,2.0,0,1,0,0,0,0,0,0,1,0,70.0,126.0,98.05,119.01666666666667,116.75,113.48333333333335
4572,1.0,2.0,0,0,0,0,0,0,0,0,1,0,85.0,98.0,95.78333333333332,123.58333333333333,117.56666666666666,118.39999999999999
4573,2.0,2.0,0,0,0,0,0,0,0,0,1,0,69.0,81.0,99.11666666666666,123.21666666666665,113.61666666666666,112.53333333333335
4574,3.0,2.0,0,0,0,0,0,0,0,0,1,0,66.0,92.0,99.94999999999999,121.08333333333333,117.60000000000001,108.13333333333333
4576,3.0,2.0,0,1,0,0,0,0,0,1,0,0,80.0,83.0,108.51666666666667,100.75,104.13333333333334,107.58333333333336
4577,2.0,2.0,0,0,0,0,0,0,0,1,0,0,79.0,84.0,114.63333333333333,109.86666666666666,108.05000000000001,114.84999999999998
4578,3.0,2.0,0,1,0,0,0,0,0,1,0,0,78.0,79.0,113.48333333333333,109.86666666666666,114.03333333333332,107.56666666666666
4579,2.0,2.0,0,0,0,0,0,0,0,1,0,0,94.0,97.0,114.10000000000001,113.01666666666667,114.39999999999999,111.73333333333335
4580,2.0,2.0,0,1,0,0,0,0,0,1,0,0,82.0,90.0,116.73333333333335,115.36666666666667,105.56666666666666,109.0
4581,2.0,2.0,0,0,0,0,0,0,0,1,0,0,93.0,100.0,116.7,114.36666666666667,106.94999999999999,108.53333333333335
4582,2.0,3.0,0,0,0,0,0,0,0,1,0,0,101.0,91.0,116.53333333333332,114.66666666666667,109.64999999999999,112.68333333333332
4583,4.0,3.0,0,0,0,0,0,0,0,1,0,0,74.0,86.0,117.41666666666667,112.39999999999999,107.06666666666666,110.71666666666665
4584,2.0,2.0,0,0,0,0,0,0,0,1,0,0,77.0,78.0,116.61666666666666,114.26666666666667,114.23333333333333,108.80000000000001
4585,2.0,1.0,0,0,0,0,0,0,0,1,0,0,89.0,67.0,116.5,111.63333333333334,119.18333333333334,114.73333333333335
4586,2.0,1.0,0,0,0,0,0,0,0,1,0,0,82.0,102.0,113.69999999999999,106.8,114.10000000000001,109.55
4587,2.0,3.0,0,1,0,0,0,0,0,1,0,0,83.0,97.0,113.68333333333332,109.76666666666665,109.01666666666667,102.76666666666667
4588,2.0,2.0,0,1,0,0,0,0,0,1,0,0,78.0,92.0,112.68333333333332,111.25,112.01666666666665,116.61666666666667
4589,1.0,1.0,0,0,0,0,0,0,0,1,0,0,87.0,77.0,110.39999999999999,112.85000000000001,113.38333333333333,113.8
4590,2.0,2.0,0,1,0,0,0,0,0,1,0,0,104.0,90.0,113.56666666666668,112.0,96.05000000000001,105.93333333333334
4591,2.0,2.0,0,0,0,0,0,0,0,1,0,0,77.0,88.0,118.05,113.13333333333333,115.7,112.86666666666667
4592,5.0,2.0,0,1,0,0,0,0,0,1,0,0,84.0,81.0,115.73333333333335,115.81666666666666,110.48333333333333,112.5
4593,2.0,2.0,0,1,0,0,0,0,0,1,0,0,78.0,68.0,115.75,112.35000000000001,111.94999999999999,108.76666666666667
4594,2.0,2.0,0,1,0,0,0,0,0,1,0,0,84.0,84.0,116.58333333333333,110.01666666666667,111.25,111.56666666666666
4595,2.0,1.0,0,0,0,0,0,0,0,1,0,0,77.0,79.0,117.11666666666667,109.90000000000002,114.73333333333333,125.45
4596,5.0,5.0,0,0,0,0,0,0,0,1,0,0,78.0,77.0,115.13333333333334,110.86666666666666,111.78333333333332,108.71666666666665
4597,2.0,2.0,0,0,0,0,0,0,0,1,0,0,98.0,73.0,111.46666666666665,109.73333333333333,114.08333333333333,122.30000000000001
4598,2.0,2.0,0,0,0,0,0,0,0,1,0,0,81.0,82.0,115.53333333333332,107.91666666666667,108.51666666666667,109.96666666666668
4599,5.0,2.0,0,0,0,0,0,0,0,1,0,0,86.0,62.0,116.61666666666667,109.50000000000001,117.23333333333333,110.95
4600,2.0,2.0,0,0,0,0,0,0,0,1,0,0,81.0,78.0,115.3,106.61666666666666,108.58333333333333,111.60000000000001
4601,2.0,2.0,0,1,0,0,0,0,0,1,0,0,90.0,75.0,113.21666666666665,105.43333333333334,111.01666666666667,118.58333333333336
4602,2.0,2.0,0,1,0,0,0,0,0,1,0,0,82.0,100.0,115.73333333333335,103.95,110.39999999999999,110.35000000000001
4603,2.0,3.0,0,1,0,0,0,0,1,0,0,0,100.0,80.0,108.40000000000002,103.23333333333333,105.59999999999998,112.88333333333334
4604,2.0,2.0,0,1,0,0,0,0,1,0,0,0,89.0,80.0,111.06666666666666,100.21666666666668,108.14999999999999,114.44999999999999
4605,1.0,1.0,0,0,0,0,0,0,1,0,0,0,66.0,79.0,113.19999999999999,100.55000000000001,107.18333333333334,106.31666666666666
4606,4.0,2.0,0,1,0,0,0,0,1,0,0,0,73.0,62.0,111.48333333333333,100.89999999999999,105.18333333333334,115.5
4607,2.0,2.0,0,1,0,0,0,0,1,0,0,0,91.0,76.0,109.66666666666667,97.10000000000001,94.68333333333334,105.14999999999999
4608,3.0,1.0,0,0,0,0,0,0,1,0,0,0,99.0,75.0,110.85000000000001,99.26666666666667,104.36666666666667,102.46666666666665
4609,2.0,2.0,0,1,0,0,0,0,1,0,0,0,88.0,69.0,109.98333333333333,99.51666666666667,99.25,106.05000000000001
4610,1.0,2.0,0,0,0,0,0,0,1,0,0,0,80.0,86.0,108.66666666666667,97.63333333333334,107.05,115.5
4611,1.0,1.0,0,0,0,0,0,0,1,0,0,0,92.0,75.0,108.96666666666668,99.43333333333334,107.11666666666667,115.88333333333334
4612,2.0,2.0,0,1,0,0,0,0,1,0,0,0,79.0,90.0,110.78333333333332,97.14999999999999,104.8,115.28333333333335
4613,2.0,2.0,0,0,0,0,0,0,1,0,0,0,93.0,96.0,109.93333333333334,101.83333333333333,111.66666666666667,112.96666666666668
4614,2.0,2.0,0,0,0,0,0,0,1,0,0,0,86.0,80.0,110.3,105.05000000000001,112.03333333333332,107.46666666666665
4615,2.0,2.0,0,0,0,0,0,0,1,0,0,0,96.0,95.0,110.66666666666667,105.40000000000002,101.93333333333334,102.66666666666669
4616,1.0,1.0,0,0,0,0,0,0,1,0,0,0,93.0,87.0,110.18333333333334,110.45,105.15000000000002,108.58333333333336
4617,2.0,1.0,0,0,0,0,0,0,1,0,0,0,98.0,82.0,111.58333333333333,110.08333333333333,116.66666666666667,112.25
4618,3.0,2.0,0,1,0,0,0,0,1,0,0,0,89.0,79.0,111.91666666666667,112.76666666666667,110.96666666666668,102.63333333333333
4619,2.0,3.0,0,1,0,0,0,0,1,0,0,0,98.0,92.0,114.13333333333333,111.43333333333334,105.53333333333332,109.76666666666665
4620,2.0,2.0,0,0,0,0,0,0,1,0,0,0,83.0,72.0,114.09999999999998,109.39999999999999,101.7,110.23333333333333
4621,2.0,1.0,0,0,0,0,0,0,1,0,0,0,87.0,82.0,113.85000000000001,107.13333333333334,110.64999999999999,110.64999999999999
4622,5.0,5.0,0,0,0,0,0,0,1,0,0,0,93.0,95.0,114.55000000000001,105.26666666666665,111.18333333333334,111.18333333333334
4623,1.0,2.0,0,0,0,0,0,0,1,0,0,0,83.0,94.0,114.93333333333334,106.75,103.45,110.86666666666666
4624,2.0,3.0,0,1,0,0,0,0,1,0,0,0,79.0,86.0,114.03333333333335,107.05,110.08333333333333,107.16666666666667
4625,1.0,1.0,0,0,0,0,0,0,1,0,0,0,67.0,75.0,112.64999999999999,107.08333333333333,104.8,105.75
4626,2.0,2.0,0,1,0,0,0,0,1,0,0,0,80.0,78.0,109.2,104.45,106.31666666666668,110.93333333333332
