,ID,PTS,FGM,FGA,FG3M,FG3A,FG3_PCT,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,FT_PCT,FG_PCT
38,ATL2020-12-26,35.0,8.0,18.0,4.0,10.0,0.4,15.0,17.0,4.0,11.0,15.0,5.0,4.0,0.0,1.0,0.0,5.0,9.0,0.8823529411764706,0.4444444444444444
39,CHA2020-12-26,32.0,10.0,22.0,7.0,10.0,0.7,5.0,10.0,1.0,10.0,11.0,9.0,3.0,4.0,1.0,2.0,7.0,8.0,0.5,0.4545454545454545
40,CHI2020-12-26,35.0,9.0,21.0,5.0,10.0,0.5,12.0,13.0,4.0,7.0,11.0,6.0,3.0,4.0,4.0,0.0,4.0,9.0,0.9230769230769232,0.4285714285714285
41,CLE2020-12-26,20.0,5.0,14.0,2.0,5.0,0.4,8.0,12.0,2.0,10.0,12.0,4.0,6.0,3.0,2.0,0.0,5.0,6.0,0.6666666666666666,0.3571428571428571
42,DET2020-12-26,15.0,6.0,23.0,2.0,12.0,0.1666666666666666,1.0,1.0,5.0,9.0,14.0,3.0,6.0,4.0,0.0,2.0,6.0,5.0,1.0,0.2608695652173913
43,HOU2020-12-26,28.0,12.0,20.0,2.0,5.0,0.4,2.0,2.0,4.0,6.0,10.0,7.0,4.0,0.0,0.0,1.0,6.0,3.0,1.0,0.6
44,IND2020-12-26,26.0,11.0,24.0,2.0,6.0,0.3333333333333333,2.0,2.0,4.0,8.0,12.0,7.0,5.0,2.0,0.0,4.0,9.0,4.0,1.0,0.4583333333333333
45,MEM2020-12-26,24.0,6.0,22.0,2.0,11.0,0.1818181818181818,10.0,10.0,3.0,7.0,10.0,3.0,2.0,2.0,0.0,1.0,9.0,5.0,1.0,0.2727272727272727
46,MIN2020-12-26,28.0,12.0,26.0,0.0,3.0,0.0,4.0,5.0,4.0,9.0,13.0,3.0,5.0,1.0,1.0,1.0,6.0,5.0,0.8,0.4615384615384615
47,NYK2020-12-26,20.0,6.0,17.0,1.0,7.0,0.1428571428571428,7.0,7.0,1.0,8.0,9.0,5.0,4.0,3.0,0.0,0.0,8.0,4.0,1.0,0.3529411764705882
48,OKC2020-12-26,29.0,9.0,21.0,6.0,12.0,0.5,5.0,8.0,1.0,12.0,13.0,6.0,5.0,3.0,2.0,1.0,8.0,7.0,0.625,0.4285714285714285
49,ORL2020-12-26,38.0,15.0,24.0,3.0,7.0,0.4285714285714285,5.0,7.0,2.0,10.0,12.0,10.0,1.0,1.0,0.0,1.0,3.0,7.0,0.7142857142857143,0.625
50,PHI2020-12-26,23.0,7.0,17.0,3.0,6.0,0.5,6.0,8.0,3.0,9.0,12.0,2.0,6.0,3.0,0.0,0.0,4.0,8.0,0.75,0.4117647058823529
51,PHX2020-12-26,24.0,8.0,24.0,2.0,12.0,0.1666666666666666,6.0,7.0,5.0,8.0,13.0,5.0,3.0,3.0,1.0,2.0,8.0,6.0,0.8571428571428571,0.3333333333333333
52,POR2020-12-26,29.0,11.0,22.0,3.0,7.0,0.4285714285714285,4.0,6.0,2.0,4.0,6.0,8.0,1.0,2.0,1.0,0.0,3.0,6.0,0.6666666666666666,0.5
53,SAC2020-12-26,23.0,7.0,21.0,0.0,5.0,0.0,9.0,11.0,5.0,10.0,15.0,1.0,3.0,1.0,2.0,1.0,6.0,8.0,0.8181818181818182,0.3333333333333333
54,SAS2020-12-26,28.0,10.0,25.0,3.0,8.0,0.375,5.0,6.0,5.0,10.0,15.0,8.0,2.0,0.0,0.0,3.0,2.0,7.0,0.8333333333333334,0.4
